controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PPO + BRT,96,0.9700,0,-0.4518163,0.0319204,0.0910038,-0.4518163,0.0319204,0.0910038,0.0000000,0.29347,0.557304
PPO + BRT,97,0.9800,0,-0.4524344,0.0305014,0.0898229,-0.4524344,0.0305014,0.0898229,0.0000000,0.30120,0.555972
PPO + BRT,98,0.9900,0,-0.4529147,0.0293701,0.0888893,-0.4529147,0.0293701,0.0888893,0.0000000,0.30932,0.554628
PPO + BRT,99,1.0000,1,-0.4533086,0.0285259,0.0881845,-0.4353812,0.0305136,0.0776137,0.0209065,0.31691,0.553274
PPO + BRT,100,1.0100,1,-0.4535622,0.0286181,0.0881524,-0.4073180,0.0336957,0.0610938,0.0538190,0.32235,0.551909
PPO + BRT,101,1.0200,1,-0.4536756,0.0299873,0.0889175,-0.3862807,0.0372732,0.0497378,0.0782957,0.32414,0.550536
PPO + BRT,102,1.0300,1,-0.4537250,0.0322762,0.0900663,-0.3719400,0.0409315,0.0427931,0.0948603,0.32146,0.549157
PPO + BRT,103,1.0400,1,-0.4537850,0.0350948,0.0912408,-0.3608834,0.0446630,0.0378399,0.1075822,0.31402,0.547771
PPO + BRT,104,1.0500,1,-0.4539326,0.0381527,0.0922279,-0.3518113,0.0483402,0.0338004,0.1180945,0.30190,0.546380
PPO + BRT,105,1.0600,1,-0.4542635,0.0411970,0.0928875,-0.3442263,0.0517674,0.0302715,0.1270459,0.28549,0.544984
PPO + BRT,106,1.0700,1,-0.4548840,0.0440025,0.0931232,-0.3388309,0.0546922,0.0274123,0.1337928,0.26546,0.543583
PPO + BRT,107,1.0800,1,-0.4559169,0.0463385,0.0928499,-0.3310484,0.0573133,0.0225793,0.1437030,0.24262,0.542179
PPO + BRT,108,1.0900,1,-0.4573516,0.0481936,0.0921303,-0.3252966,0.0592251,0.0182645,0.1517115,0.21789,0.540771
PPO + BRT,109,1.1000,1,-0.4592604,0.0494166,0.0909133,-0.3172430,0.0606553,0.0120040,0.1628556,0.19229,0.539359
PPO + BRT,110,1.1100,1,-0.4615651,0.0500661,0.0892863,-0.3110848,0.0613149,0.0062524,0.1722367,0.16699,0.537945
PPO + BRT,111,1.1200,1,-0.4642740,0.0500678,0.0872238,-0.3022982,0.0614735,-0.0014341,0.1850040,0.14330,0.536529
PPO + BRT,112,1.1300,1,-0.4672405,0.0495525,0.0848439,-0.2957076,0.0609123,-0.0082661,0.1955046,0.12271,0.535111
PPO + BRT,113,1.1400,1,-0.4704399,0.0484825,0.0821289,-0.2884790,0.0598073,-0.0157660,0.2069333,0.10694,0.533692
PPO + BRT,114,1.1500,1,-0.4737480,0.0469465,0.0791613,-0.2814747,0.0581969,-0.0233472,0.2181825,0.09741,0.532272
PPO + BRT,115,1.1600,1,-0.4770630,0.0450087,0.0760052,-0.2744086,0.0561628,-0.0309745,0.2294294,0.09454,0.530851
PPO + BRT,116,1.1700,1,-0.4802780,0.0427509,0.0727396,-0.2674837,0.0537817,-0.0384057,0.2403256,0.09716,0.529430
PPO + BRT,117,1.1800,1,-0.4833037,0.0402496,0.0694411,-0.2617036,0.0511008,-0.0451221,0.2496981,0.10314,0.528010
PPO + BRT,118,1.1900,1,-0.4860880,0.0375427,0.0661591,-0.2550683,0.0482597,-0.0519822,0.2596966,0.11041,0.526590
PPO + BRT,119,1.2000,1,-0.4885560,0.0347442,0.0630041,-0.2480156,0.0453506,-0.0586564,0.2697655,0.11752,0.525171
PPO + BRT,120,1.2100,1,-0.4906775,0.0319480,0.0600615,-0.2396172,0.0424987,-0.0654770,0.2808959,0.12369,0.523753
PPO + BRT,121,1.2200,1,-0.4924430,0.0292773,0.0574303,-0.2316563,0.0397475,-0.0715424,0.2911243,0.12860,0.522337
PPO + BRT,122,1.2300,1,-0.4938980,0.0267780,0.0551331,-0.2248265,0.0371169,-0.0765375,0.2997391,0.13219,0.520924
PPO + BRT,123,1.2400,1,-0.4951026,0.0244599,0.0531601,-0.2149568,0.0347644,-0.0824134,0.3113969,0.13463,0.519513
PPO + BRT,124,1.2500,1,-0.4960906,0.0224815,0.0516177,-0.2060609,0.0326771,-0.0872649,0.3217291,0.13624,0.518105
PPO + BRT,125,1.2600,1,-0.4969398,0.0208280,0.0504583,-0.1940919,0.0309687,-0.0930792,0.3352950,0.13745,0.516701
PPO + BRT,126,1.2700,1,-0.4976990,0.0196238,0.0497491,-0.1817152,0.0296301,-0.0985849,0.3492118,0.13877,0.515301
PPO + BRT,127,1.2800,1,-0.4984264,0.0188667,0.0494453,-0.1687369,0.0286265,-0.1038353,0.3637105,0.14069,0.513905
PPO + BRT,128,1.2900,1,-0.4991584,0.0185446,0.0494949,-0.1521382,0.0279956,-0.1103343,0.3821749,0.14373,0.512515
PPO + BRT,129,1.3000,1,-0.4999016,0.0187418,0.0499278,-0.1340873,0.0276774,-0.1170252,0.4022104,0.14848,0.511132
PPO + BRT,130,1.3100,1,-0.5006484,0.0194339,0.0506800,-0.1147041,0.0275674,-0.1238502,0.4236508,0.15549,0.509756
PPO + BRT,131,1.3200,1,-0.5013709,0.0205729,0.0516731,-0.0941228,0.0275399,-0.1308911,0.4463510,0.16530,0.508387
