controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,83,0.8400,1,-3.4022317,-0.1635305,1.1559715,-0.2157200,0.0030674,0.0276257,3.3844907,0.16572,0.500643
PD + BRT,84,0.8500,1,-3.3889484,-0.1638675,1.1542336,-0.2105367,0.0019403,0.0255918,3.3769255,0.17180,0.498842
PD + BRT,85,0.8600,1,-3.3758457,-0.1641687,1.1525604,-0.2044865,0.0005980,0.0236856,3.3703153,0.18231,0.497047
PD + BRT,86,0.8700,1,-3.3629503,-0.1644277,1.1509484,-0.1993318,-0.0008023,0.0214920,3.3631723,0.19677,0.495258
PD + BRT,87,0.8800,1,-3.3502362,-0.1646424,1.1494067,-0.1925727,-0.0022892,0.0195617,3.3576403,0.21439,0.493474
PD + BRT,88,0.8900,1,-3.3377523,-0.1648101,1.1479270,-0.1861815,-0.0037433,0.0174982,3.3520458,0.23428,0.491697
PD + BRT,89,0.9000,1,-3.3254890,-0.1649312,1.1465144,-0.1800679,-0.0051814,0.0155848,3.3463707,0.25549,0.489927
PD + BRT,90,0.9100,1,-3.3134379,-0.1650061,1.1451647,-0.1740354,-0.0065179,0.0137991,3.3408017,0.27713,0.488163
PD + BRT,91,0.9200,1,-3.3015990,-0.1650375,1.1438745,-0.1691815,-0.0077250,0.0121185,3.3343151,0.29836,0.486407
PD + BRT,92,0.9300,1,-3.2899370,-0.1650291,1.1426405,-0.1639230,-0.0087604,0.0107924,3.3282824,0.31848,0.484657
PD + BRT,93,0.9400,1,-3.2784648,-0.1649859,1.1414524,-0.1588608,-0.0096500,0.0100129,3.3220797,0.33687,0.482916
PD + BRT,94,0.9500,1,-3.2671773,-0.1649120,1.1402941,-0.1556296,-0.0102338,0.0091100,3.3143978,0.35302,0.481182
PD + BRT,95,0.9600,1,-3.2560201,-0.1648165,1.1391696,-0.1516458,-0.0105689,0.0083881,3.3075066,0.36654,0.479456
PD + BRT,96,0.9700,1,-3.2450159,-0.1647069,1.1380734,-0.1486547,-0.0106978,0.0084307,3.2995856,0.37714,0.477738
PD + BRT,97,0.9800,1,-3.2341361,-0.1645892,1.1369826,-0.1453583,-0.0104537,0.0078963,3.2922852,0.38468,0.476028
PD + BRT,98,0.9900,1,-3.2233887,-0.1644747,1.1359149,-0.1434487,-0.0099774,0.0074898,3.2837849,0.38910,0.474327
PD + BRT,99,1.0000,1,-3.2127342,-0.1643705,1.1348661,-0.1394664,-0.0091951,0.0067303,3.2774603,0.39048,0.472633
PD + BRT,100,1.0100,1,-3.2022333,-0.1642858,1.1338466,-0.1361706,-0.0082894,0.0061120,3.2706056,0.38905,0.470948
PD + BRT,101,1.0200,1,-3.1918674,-0.1642244,1.1328528,-0.1317566,-0.0071934,0.0049452,3.2651358,0.38513,0.469272
PD + BRT,102,1.0300,1,-3.1816692,-0.1641925,1.1319009,-0.1265563,-0.0060130,0.0034476,3.2606966,0.37916,0.467604
PD + BRT,103,1.0400,1,-3.1716633,-0.1641926,1.1310006,-0.1200902,-0.0048439,0.0012403,3.2578900,0.37166,0.465945
PD + BRT,104,1.0500,1,-3.1618881,-0.1642248,1.1301742,-0.1125564,-0.0038134,-0.0010606,3.2563550,0.36324,0.464296
PD + BRT,105,1.0600,1,-3.1523767,-0.1642852,1.1294242,-0.1050252,-0.0029007,-0.0044098,3.2554531,0.35453,0.462656
PD + BRT,106,1.0700,1,-3.1431298,-0.1643705,1.1287825,-0.0957275,-0.0022857,-0.0080809,3.2565920,0.34616,0.461026
PD + BRT,107,1.0800,1,-3.1342020,-0.1644717,1.1282600,-0.0853344,-0.0020741,-0.0119470,3.2591469,0.33879,0.459406
PD + BRT,108,1.0900,1,-3.1256270,-0.1645771,1.1278622,-0.0742568,-0.0021894,-0.0169901,3.2631147,0.33307,0.457797
PD + BRT,109,1.1000,1,-3.1174278,-0.1646772,1.1276258,-0.0622748,-0.0029277,-0.0217284,3.2682011,0.32959,0.456200
PD + BRT,110,1.1100,1,-3.1096330,-0.1647529,1.1275427,-0.0489155,-0.0041036,-0.0274973,3.2753499,0.32888,0.454614
PD + BRT,111,1.1200,1,-3.1022859,-0.1647913,1.1276444,-0.0357921,-0.0059406,-0.0332231,3.2827170,0.33138,0.453041
PD + BRT,112,1.1300,1,-3.0953813,-0.1647719,1.1279303,-0.0204591,-0.0082697,-0.0401975,3.2930474,0.33742,0.451482
PD + BRT,113,1.1400,1,-3.0889878,-0.1646800,1.1284394,-0.0047460,-0.0113469,-0.0469515,3.3041797,0.34724,0.449936
PD + BRT,114,1.1500,1,-3.0831192,-0.1644926,1.1291661,0.0141577,-0.0150048,-0.0545724,3.3191426,0.36099,0.448405
PD + BRT,115,1.1600,1,-3.0778742,-0.1641916,1.1301377,0.0329900,-0.0194509,-0.0626828,3.3348532,0.37873,0.446890
PD + BRT,116,1.1700,1,-3.0732536,-0.1637526,1.1313697,0.0536824,-0.0245439,-0.0718469,3.3533323,0.40041,0.445391
PD + BRT,117,1.1800,1,-3.0693169,-0.1631557,1.1328958,0.0756205,-0.0305222,-0.0811485,3.3737407,0.42589,0.443910
PD + BRT,118,1.1900,1,-3.0661037,-0.1623731,1.1347219,0.1011652,-0.0372400,-0.0918540,3.3987851,0.45505,0.442448
PD + BRT,119,1.2000,1,-3.0637274,-0.1613814,1.1368917,0.1282340,-0.0449998,-0.1028533,3.4262414,0.48777,0.441005
